city_name,lat,long,max_temp,cloudiness,humidity,wind_speed,country_code,date_of_measurement
ilulissat,69.2167,-51.1,12.2,100,66,12.75,GL,1609895074
awash,8.9833,40.1667,63.93,0,68,0.74,ET,1609895074
honiara,-9.4333,159.95,89.6,20,70,13.87,SB,1609894427
moose jaw,50.4001,-105.5344,26.6,2,79,11.41,CA,1609894812
mar del plata,-38.0023,-57.5575,68.0,90,88,11.41,AR,1609895074
tottori,35.5,134.2333,41.0,75,48,11.41,JP,1609894859
dikson,73.5069,80.5464,19.71,100,97,27.56,RU,1609895074
longyan,25.1072,117.0225,53.2,33,63,2.39,CN,1609895074
butaritari,3.0707,172.7902,81.93,0,75,19.86,KI,1609895074
castro,-24.7911,-50.0119,65.19,100,96,4.5,BR,1609895074
bandarbeyla,9.4942,50.8122,72.39,0,71,17.78,SO,1609895074
albany,42.6001,-73.9662,33.01,95,80,3.98,US,1609895074
socorro,31.6546,-106.3033,62.6,75,15,9.17,US,1609895074
murray bridge,-35.1167,139.2667,64.0,26,64,16.11,AU,1609895074
port elizabeth,-33.918,25.5701,62.6,0,93,3.36,ZA,1609895074
mitsamiouli,-11.3847,43.2844,82.04,34,73,11.59,KM,1609895074
saint-philippe,-21.3585,55.7679,77.0,75,73,5.82,RE,1609895075
kirksville,40.1948,-92.5833,35.6,1,74,4.7,US,1609895075
halifax,44.6453,-63.5724,34.0,100,80,12.75,CA,1609894951
makakilo city,21.3469,-158.0858,82.4,75,54,9.17,US,1609894589
agucadoura,41.4318,-8.7804,37.99,0,93,5.82,PT,1609894614
nanortalik,60.1432,-45.2371,26.2,20,89,6.38,GL,1609895075
iranshahr,27.2025,60.6848,41.0,0,21,0.58,IR,1609895075
barrow,71.2906,-156.7887,-16.6,40,75,9.17,US,1609895075
vestmanna,62.1564,-7.1664,44.6,100,100,14.99,FO,1609895075
beloha,-25.1667,45.05,72.57,16,90,1.9,MG,1609895075
tete,-16.1564,33.5867,77.0,40,94,4.7,MZ,1609895075
tuktoyaktuk,69.4541,-133.0374,-16.6,40,75,3.36,CA,1609895075
portland,45.5234,-122.6762,48.99,90,66,14.99,US,1609894855
tulle,45.3333,1.8333,30.99,100,93,0.18,FR,1609895075
nouadhibou,20.931,-17.0347,68.0,100,88,6.93,MR,1609895075
chicama,-7.8447,-79.1469,68.0,100,88,6.93,PE,1609894590
coos bay,43.3665,-124.2179,55.99,1,50,9.17,US,1609895076
guanare,9.0418,-69.7421,73.69,100,61,2.89,VE,1609895076
comodoro rivadavia,-45.8667,-67.5,68.0,0,56,19.46,AR,1609894368
markova,48.6758,24.4138,34.14,42,89,3.42,UA,1609895076
harper,4.375,-7.7169,79.05,100,84,8.57,LR,1609895076
los llanos de aridane,28.6585,-17.9182,68.0,90,82,2.24,ES,1609894495
ribeira grande,38.5167,-28.7,58.28,100,80,33.62,PT,1609895076
puerto del rosario,28.5004,-13.8627,68.0,75,82,5.82,ES,1609894499
isangel,-19.55,169.2667,83.52,100,76,15.19,VU,1609894596
kerewan,13.4898,-16.0888,73.4,0,64,5.82,GM,1609894493
cherskiy,68.75,161.3,-18.29,100,88,11.97,RU,1609895076
canmore,51.0834,-115.3521,35.6,100,90,8.05,CA,1609894805
garzon,2.1959,-75.6278,70.63,92,73,1.32,CO,1609894904
calnali,20.9167,-98.5833,54.45,76,100,1.7,MX,1609895076
coquimbo,-29.9533,-71.3436,59.0,75,77,10.29,CL,1609895045
provideniya,64.3833,-173.3,-3.8,0,84,9.82,RU,1609895076
akyab,20.15,92.9,66.88,0,79,5.23,MM,1609895076
misratah,32.3754,15.0925,57.88,100,40,9.78,LY,1609894584
khuzhir,53.1939,107.3397,-12.24,100,87,12.1,RU,1609895077
kutahya,39.4242,29.9833,33.8,90,88,3.36,TR,1609895077
altay,47.8667,88.1167,-2.36,0,58,5.03,CN,1609895077
charters towers,-20.1,146.2667,76.69,100,86,13.82,AU,1609895077
bubaque,11.2833,-15.8333,80.44,21,65,8.61,GW,1609895077
vinh,18.6667,105.6667,62.67,100,89,6.11,VN,1609894841
moba,33.2288,105.0179,21.78,100,84,4.14,CN,1609895077
la orilla,17.9833,-102.2333,75.4,0,78,7.9,MX,1609895077
maridi,4.9158,29.4742,73.47,0,51,2.3,SS,1609895077
avera,33.194,-82.5271,50.0,1,57,5.82,US,1609895077
takoradi,4.8845,-1.7554,79.23,100,87,9.4,GH,1609894600
aswan,24.0934,32.907,62.65,0,32,7.92,EG,1609895077
sao filipe,14.8961,-24.4956,75.13,100,73,2.95,CV,1609895077
saint-pierre,-21.3393,55.4781,75.2,75,73,5.82,RE,1609895078
hobart,-42.8794,147.3294,64.4,75,52,10.29,AU,1609894779
chokurdakh,70.6333,147.9167,-13.49,100,89,11.63,RU,1609894491
awjilah,29.1081,21.2869,56.3,93,68,7.11,LY,1609895078
lahad datu,5.0268,118.327,78.8,100,87,5.77,MY,1609895078
yelanskiy,56.8419,62.5014,-3.93,100,92,7.2,RU,1609895078
victoria,22.2855,114.1577,59.0,83,65,7.0,HK,1609894950
aguimes,27.9054,-15.4461,68.0,40,82,11.41,ES,1609895078
inirida,3.8653,-67.9239,73.99,14,95,2.06,CO,1609894601
southbridge,42.0751,-72.0334,32.0,85,87,5.66,US,1609895078
payo,-3.7508,103.6372,78.94,57,88,2.53,ID,1609895078
nikolskoye,59.7035,30.7861,26.6,90,92,8.95,RU,1609895078
champerico,14.3,-91.9167,82.4,20,74,6.93,GT,1609894485
clyde river,70.4692,-68.5914,-27.4,40,74,5.82,CA,1609895079
ostrovnoy,68.0531,39.5131,16.79,3,95,24.38,RU,1609894486
ust-maya,60.4167,134.5333,-34.33,100,82,1.01,RU,1609895079
byron bay,-28.65,153.6167,86.0,0,70,10.29,AU,1609895079
gunjur,13.2019,-16.7339,73.4,0,64,5.82,GM,1609895079
ningxiang,37.34,111.2052,2.71,0,71,20.98,CN,1609895080
balabac,7.9868,117.0645,82.0,100,76,15.28,PH,1609895080
fortuna,40.5982,-124.1573,53.01,90,62,5.57,US,1609895080
san patricio,28.017,-97.5169,69.8,75,83,11.41,US,1609895080
ancud,-41.8697,-73.8203,62.6,0,51,8.05,CL,1609895080
east london,-33.0153,27.9116,71.24,56,75,12.75,ZA,1609895080
yellowknife,62.456,-114.3525,-2.99,90,76,13.87,CA,1609895080
new norfolk,-42.7826,147.0587,64.99,75,52,10.29,AU,1609895080
belaya gora,68.5333,146.4167,-26.09,14,83,6.55,RU,1609895080
ucluelet,48.9329,-125.5528,48.0,90,93,27.56,CA,1609894435
mandurah,-32.55,115.7,81.0,48,36,5.99,AU,1609895080
lavrentiya,65.5833,-171.0,-12.98,23,83,12.66,RU,1609895080
adre,13.4667,22.2,65.03,0,25,12.48,TD,1609894580
batemans bay,-35.7167,150.1833,70.0,49,84,3.0,AU,1609894829
taltal,-25.4,-70.4833,64.51,0,75,2.08,CL,1609895080
alamos,27.0167,-108.9333,63.0,100,63,1.01,MX,1609895081
laguna,38.421,-121.4238,57.2,1,62,8.05,US,1609894616
saskylakh,71.9167,114.0833,0.37,100,91,17.67,RU,1609895081
mackay,-21.15,149.2,78.8,75,83,1.12,AU,1609895081
kruisfontein,-34.0033,24.7314,68.0,18,89,1.01,ZA,1609895081
mecca,21.4267,39.8261,72.72,0,78,4.16,SA,1609894544
sur,22.5667,59.5289,65.75,0,46,9.48,OM,1609895081
fairbanks,64.8378,-147.7164,-2.99,20,83,2.35,US,1609894602
moscow,55.7522,37.6156,26.01,90,92,8.95,RU,1609894789
auki,-8.7676,160.7034,88.21,93,52,0.96,SB,1609895081
kahului,20.8947,-156.47,82.4,40,54,21.92,US,1609894919
daman,20.4167,72.85,67.44,84,49,11.95,IN,1609895081
bhimunipatnam,17.8833,83.4333,71.6,20,88,3.36,IN,1609895081
faanui,-16.4833,-151.75,81.16,0,73,13.49,PF,1609895081
enshi,30.3,109.4833,37.8,98,78,0.98,CN,1609895081
hofn,64.2539,-15.2082,36.99,100,81,4.68,IS,1609894484
punta alta,-38.8759,-62.0736,64.74,100,75,18.25,AR,1609895082
cap malheureux,-19.9842,57.6142,73.0,36,86,3.0,MU,1609894590
etchoropo,26.7667,-109.6667,63.0,100,63,1.01,MX,1609895082
samarai,-10.6167,150.6667,85.95,30,73,14.18,PG,1609895082
rajula,21.05,71.4333,60.13,0,45,14.18,IN,1609895082
ulladulla,-35.35,150.4667,71.6,75,64,17.22,AU,1609894583
bredasdorp,-34.5322,20.0403,64.4,9,88,4.7,ZA,1609895082
xingyi,24.1877,102.817,48.29,100,94,5.28,CN,1609895082
namibe,-15.1961,12.1522,71.28,13,74,6.42,AO,1609894491
cidreira,-30.1811,-50.2056,72.19,100,90,11.95,BR,1609895082
saldanha,-33.0117,17.9442,62.6,0,88,9.17,ZA,1609894482
huarmey,-10.0681,-78.1522,70.34,100,83,7.47,PE,1609895082
buraydah,26.326,43.975,55.4,20,93,5.82,SA,1609895082
andros town,24.7,-77.7667,69.8,20,56,10.29,BS,1609895083
kaitangata,-46.2817,169.8464,63.0,69,79,8.01,NZ,1609895083
meulaboh,4.1363,96.1285,78.15,100,80,3.49,ID,1609895083
akdagmadeni,39.6603,35.8836,37.69,99,92,3.15,TR,1609895083
canberra,-35.2835,149.1281,73.0,90,60,5.82,AU,1609895083
port hedland,-20.3167,118.5667,89.6,3,31,23.04,AU,1609895083
gravelbourg,49.8834,-106.5512,23.0,0,85,8.05,CA,1609894223
mahebourg,-20.4081,57.7,75.2,40,88,10.29,MU,1609895083
ureki,41.9956,41.7786,55.4,0,24,17.22,GE,1609895083
amahai,-3.3333,128.9167,84.09,100,70,1.19,ID,1609895083
angoram,-4.0625,144.0661,89.53,100,60,2.66,PG,1609895083
vila franca do campo,37.7167,-25.4333,55.4,75,71,14.99,PT,1609895083
batagay,67.6333,134.6333,-36.67,1,79,3.85,RU,1609895083
letterkenny,54.95,-7.7333,33.66,82,90,1.59,IE,1609895083
gawler,-34.6,138.7333,66.99,24,57,5.01,AU,1609895084
xiongzhou,25.1167,114.3,48.49,32,59,2.95,CN,1609895084
tazmalt,36.3868,4.3989,42.62,93,63,3.33,DZ,1609895084
nabire,-3.3667,135.4833,82.09,100,81,3.91,ID,1609895084
chuy,-33.6971,-53.4616,72.25,96,83,15.5,UY,1609895084
changtu,42.7788,124.0955,-1.46,13,79,7.54,CN,1609895084
biak,-0.9131,122.8766,79.5,100,79,5.86,ID,1609895084
lixourion,38.2019,20.4314,56.01,100,67,10.87,GR,1609895084
broken hill,-31.95,141.4333,66.2,75,55,19.46,AU,1609895084
airai,-8.9266,125.4092,72.32,66,84,1.83,TL,1609895084
saint george,37.1041,-113.5841,57.2,1,24,5.46,US,1609895062
druzhnaya gorka,59.2761,30.1425,26.6,90,92,8.95,RU,1609895084
luderitz,-26.6481,15.1594,69.8,5,77,5.82,NA,1609895084
fort morgan,40.2503,-103.8,37.4,90,69,24.16,US,1609895084
motygino,58.1831,94.7592,-19.75,82,87,5.17,RU,1609895085
vanavara,60.34,102.2797,-12.62,100,89,4.45,RU,1609894602
leh,34.1667,77.5833,15.64,64,84,1.9,IN,1609894600
povenets,62.8487,34.8262,12.7,91,96,5.08,RU,1609895085
markapur,15.7333,79.2833,70.54,100,95,3.22,IN,1609895085
gigmoto,13.7796,124.39,80.85,92,79,13.69,PH,1609895085
endicott,42.0984,-76.0494,34.0,90,92,10.29,US,1609895085
tiksi,71.6872,128.8694,-23.48,100,84,15.32,RU,1609895085
arman,59.7,150.1667,-10.01,5,80,10.6,RU,1609895085
dunedin,-45.8742,170.5036,60.01,95,83,4.0,NZ,1609895085
lagoa formosa,-18.7786,-46.4075,70.0,62,100,1.74,BR,1609895085
erzin,36.9559,36.2,57.99,0,46,7.0,TR,1609894496
piripiri,-4.2733,-41.7769,77.54,58,75,4.9,BR,1609895085
kaeo,-35.1,173.7833,76.48,94,45,5.44,NZ,1609895085
namatanai,-3.6667,152.4333,78.06,100,87,4.61,PG,1609894486
kollam,8.8833,76.6,80.6,40,94,7.09,IN,1609895085
pevek,69.7008,170.3133,-12.35,100,90,8.37,RU,1609895086
lakes entrance,-37.8811,147.981,64.99,99,92,4.0,AU,1609895086
avarua,-21.2078,-159.775,86.0,50,70,16.11,CK,1609895086
vao,-22.6667,167.4833,77.63,35,81,22.15,NC,1609895086
lorengau,-2.0226,147.2712,86.2,100,69,9.71,PG,1609895086
tekeli,44.83,78.8239,14.54,100,66,6.46,KZ,1609894606
seoul,37.5683,126.9778,15.8,1,56,4.54,KR,1609894800
kodiak,57.79,-152.4072,37.4,90,100,17.22,US,1609895086
klaksvik,62.2266,-6.589,44.6,100,100,14.99,FO,1609894588
agen,44.2,0.6333,35.6,90,88,3.36,FR,1609895086
kalmunai,7.4167,81.8167,76.75,8,87,3.42,LK,1609894609
kabala,9.5833,-11.55,71.1,0,76,3.18,SL,1609895086
benjamin aceval,-24.9667,-57.5667,78.8,0,83,4.05,PY,1609895086
saraland,30.8207,-88.0706,53.6,20,46,3.36,US,1609895087
atar,20.5169,-13.0499,70.66,100,38,2.93,MR,1609895087
jiamusi,46.8333,130.35,-8.36,100,88,4.21,CN,1609895087
lompoc,34.6391,-120.4579,60.8,1,63,10.29,US,1609895087
komsomolskiy,40.4272,71.7189,23.0,90,79,4.7,UZ,1609894499
kirakira,-10.4544,161.9205,87.46,100,57,7.09,SB,1609895087
thompson,55.7435,-97.8558,8.6,90,84,5.82,CA,1609895040
mumford,5.2618,-0.759,79.7,17,86,10.4,GH,1609895087
mana,5.6592,-53.7767,78.15,99,88,8.32,GF,1609895087
tabasalu,59.4303,24.5331,28.99,90,86,5.82,EE,1609895087
tsybuliv,49.0766,29.8461,33.49,100,93,6.29,UA,1609895087
yumen,40.2833,97.2,0.86,58,72,12.62,CN,1609894592
skelleftea,64.7507,20.9528,14.0,0,92,3.36,SE,1609895087
srandakan,-7.9386,110.2506,81.54,66,75,4.18,ID,1609895087
skjervoy,70.0311,20.9714,42.12,100,74,20.18,NO,1609895088
souillac,-20.5167,57.5167,75.2,40,88,10.29,MU,1609895088
sola,-13.8833,167.55,82.6,100,77,13.18,VU,1609895088
kwekwe,-18.9281,29.8149,65.3,22,87,1.32,ZW,1609895088
bireun,5.203,96.7009,77.43,100,84,7.65,ID,1609894856
zyryanka,65.75,150.85,-26.32,0,85,6.67,RU,1609894573
hasaki,35.7333,140.8333,43.0,75,75,21.92,JP,1609894489
ketchikan,55.3422,-131.6461,35.6,90,93,3.36,US,1609895088
saint-louis,16.3333,-15.0,73.4,0,49,2.24,SN,1609895088
russkaya polyana,49.417,31.9201,32.49,100,95,8.1,UA,1609895088
azanka,58.0401,64.7893,-6.12,100,89,6.85,RU,1609895088
walvis bay,-22.9575,14.5053,69.01,100,88,4.7,NA,1609895089
lazaro cardenas,17.9583,-102.2,75.88,0,78,8.25,MX,1609894491
bafra,41.5678,35.9069,57.2,75,58,2.24,TR,1609895089
esmeraldas,-19.7625,-44.3139,77.0,0,73,8.05,BR,1609894847
coruripe,-10.1256,-36.1756,76.23,0,81,7.72,BR,1609894576
sandpoint,48.2766,-116.5533,36.0,90,90,3.36,US,1609894995
culebra,18.303,-65.301,77.0,1,69,6.93,PR,1609895089
maniitsoq,65.4167,-52.9,22.78,100,97,15.82,GL,1609894579
havre-saint-pierre,50.2334,-63.5986,8.6,1,92,4.7,CA,1609894489
vila velha,-20.3297,-40.2925,78.8,20,78,11.41,BR,1609895089
oranjemund,-28.55,16.4333,60.22,22,94,11.07,NA,1609895089
kundiawa,-6.0167,144.9667,78.89,98,53,1.43,PG,1609895089
oktyabrskiy,54.4815,53.471,8.15,100,94,7.47,RU,1609895089
kaitong,44.8135,123.15,-2.2,100,90,11.59,CN,1609895089
uruacu,-14.5247,-49.1408,74.07,100,77,2.3,BR,1609894595
poum,-20.2333,164.0167,82.6,56,78,3.96,NC,1609895090
dumka,24.2667,87.25,62.53,95,52,1.9,IN,1609895090
raahe,64.6833,24.4833,15.01,90,92,5.82,FI,1609895090
sorland,67.667,12.6934,43.72,100,77,16.64,NO,1609895090
asau,46.4333,26.4,41.0,100,64,5.3,RO,1609894576
peru,40.7537,-86.0689,33.01,90,96,6.93,US,1609895090
tarko-sale,64.9225,77.785,-20.22,0,83,12.44,RU,1609895090
tierranueva,21.6833,-100.5667,54.5,0,49,5.93,MX,1609895090
pakxan,18.3778,103.6601,64.4,92,71,5.66,LA,1609894832
karratha,-20.7377,116.8463,90.82,0,29,21.32,AU,1609894500
puerto narino,-3.7703,-70.3831,78.8,75,100,2.24,CO,1609895090
san pedro,14.35,121.0167,84.0,20,69,2.24,PH,1609894954
okhotsk,59.3833,143.3,-12.01,100,81,14.41,RU,1609895091
narsaq,60.9167,-46.05,23.0,20,45,6.93,GL,1609895091
berezovyy,51.6667,135.7,-14.13,51,79,1.5,RU,1609895091
guerrero negro,27.9769,-114.0611,63.21,0,58,10.71,MX,1609895091
wajir,1.7471,40.0573,75.61,100,66,12.93,KE,1609895091
whakatane,-37.9585,176.9854,75.99,0,72,5.99,NZ,1609895091
tura,25.5198,90.2201,61.63,99,55,3.33,IN,1609894597
zhigansk,66.7697,123.3711,-39.21,100,80,11.88,RU,1609894500
bonthe,7.5264,-12.505,80.01,0,85,5.91,SL,1609895091
nishihara,26.1842,127.7558,64.4,75,63,8.05,JP,1609894608
ishigaki,24.3448,124.1572,64.4,75,88,21.92,JP,1609895091
yankton,42.8711,-97.3973,37.4,20,69,4.7,US,1609895091
moerai,-22.4333,-151.3333,79.84,1,79,15.1,PF,1609895091
kurilsk,45.2333,147.8833,18.1,98,90,12.68,RU,1609895092
mangrol,21.1167,70.1167,60.03,0,58,14.05,IN,1609895092
nara,34.6851,135.8049,46.99,40,60,4.7,JP,1609894934
bilma,18.6853,12.9164,70.0,0,22,4.68,NE,1609894617
kavieng,-2.5744,150.7967,79.18,100,88,11.68,PG,1609895092
shelburne,44.0787,-80.2041,30.99,98,92,3.42,CA,1609895092
beringovskiy,63.05,179.3167,-10.37,64,85,11.9,RU,1609895092
sioux lookout,50.1001,-91.917,23.0,90,85,3.29,CA,1609894987
bambanglipuro,-7.95,110.2833,81.43,65,75,4.21,ID,1609894833
thinadhoo,0.5333,72.9333,82.49,100,76,13.78,MV,1609894618
idlib,35.9306,36.6339,42.8,20,75,4.7,SY,1609895092
novyy urengoy,66.0833,76.6333,-13.85,66,89,13.04,RU,1609895092
santa rita,-7.1139,-34.9781,77.0,20,83,6.93,BR,1609895092
ozerki,57.6167,39.8833,28.4,90,92,4.47,RU,1609895093
lobatse,-25.2167,25.6667,68.0,34,94,6.93,BW,1609895004
vestmannaeyjar,63.4427,-20.2734,37.85,82,77,25.01,IS,1609895093
bethel,41.3712,-73.414,35.6,90,74,6.93,US,1609895093
karasuk,53.7377,78.0403,-21.33,0,86,9.15,RU,1609894824
mount isa,-20.7333,139.5,89.6,0,22,19.46,AU,1609894586
taksimo,56.3444,114.8794,-30.6,23,72,2.04,RU,1609894954
sinnamary,5.3833,-52.95,78.62,100,87,9.15,GF,1609894596
lagoa,39.05,-27.9833,57.31,100,73,41.07,PT,1609895093
bengkulu,-3.8004,102.2655,79.5,61,81,4.27,ID,1609895093
wagar,16.1525,36.2032,65.57,20,91,9.75,SD,1609895093
hun,29.1268,15.9477,53.55,0,50,10.25,LY,1609894419
boston,42.3584,-71.0598,33.01,90,95,10.29,US,1609894610
port blair,11.6667,92.75,79.61,13,81,10.22,IN,1609895093
lovozero,68.005,35.0117,11.19,0,92,3.65,RU,1609895093
sambava,-14.2667,50.1667,75.09,94,87,6.73,MG,1609895094
iqaluit,63.7506,-68.5145,19.4,90,85,2.24,CA,1609895094
ossora,59.2353,163.0719,-2.07,98,84,4.61,RU,1609895094
neiafu,-18.65,-173.9833,82.4,75,78,14.99,TO,1609894586
hambantota,6.1241,81.1185,71.6,20,100,1.12,LK,1609895094
baldone,56.7428,24.3944,33.8,90,86,8.05,LV,1609895094
high level,58.5169,-117.136,1.4,90,84,4.7,CA,1609894497
hovd,48.0056,91.6419,-9.4,0,66,3.49,MN,1609894588
tautira,-17.7333,-149.15,86.0,40,62,8.05,PF,1609895094
nemuro,43.3236,145.575,12.2,20,72,2.24,JP,1609895094
salinas,36.6777,-121.6555,62.6,1,55,4.7,US,1609895094
severo-yeniseyskiy,60.3725,93.0408,-18.38,99,89,4.23,RU,1609895094
santiago,-33.4569,-70.6483,71.6,0,35,16.11,CL,1609894931
grand-lahou,5.1367,-5.0242,79.3,100,86,9.66,CI,1609895094
yamethin,20.4333,96.15,65.64,53,58,2.01,MM,1609895094
tuatapere,-46.1333,167.6833,66.42,100,74,1.57,NZ,1609895095
adeje,28.1227,-16.726,69.01,40,93,13.87,ES,1609895095
rawson,-43.3002,-65.1023,66.24,0,48,17.09,AR,1609894856
talnakh,69.4865,88.3972,-9.4,90,83,20.13,RU,1609895095
severo-kurilsk,50.6789,156.125,17.92,95,86,7.85,RU,1609895095
mimongo,-1.6195,11.6068,69.64,95,95,2.08,GA,1609895095
leningradskiy,69.3833,178.4167,-9.04,100,87,10.2,RU,1609894499
angarsk,52.5367,103.8864,-14.8,75,75,4.47,RU,1609895095
omboue,-1.5746,9.2618,77.79,100,88,10.22,GA,1609894575
mandalgovi,45.7625,106.2708,-24.97,0,77,17.11,MN,1609894605
